Scenario,Reference,Baseline,Pairs,ramp95_kw_per_min_delta_mean,ramp95_kw_per_min_wins,ramp95_kw_per_min_ties,ramp95_kw_per_min_losses,cap_violation_pct_total_delta_mean,cap_violation_pct_total_wins,cap_violation_pct_total_ties,cap_violation_pct_total_losses,throughput_kwh_delta_mean,throughput_kwh_wins,throughput_kwh_ties,throughput_kwh_losses,idod_delta_mean,idod_wins,idod_ties,idod_losses,flip_per_day_delta_mean,flip_per_day_wins,flip_per_day_ties,flip_per_day_losses,all4_nonworse_count
cloud_edge,Proposed,NC,2,-0.03525484869561346,1,1,0,-0.1388888888888889,1,1,0,0.008536697128498125,0,1,1,8.074814167725914e-09,0,1,1,4.0,0,1,1,1
cloud_edge,Proposed,GR,2,0.0,0,2,0,0.0,0,2,0,0.0007297168525274966,0,1,1,1.32146890131131e-09,0,1,1,0.0,0,2,0,1
cloud_edge,Proposed,RS,2,6.679424389335093,0,0,2,0.0,0,2,0,-18.694857092982296,2,0,0,-0.0002737106420735984,2,0,0,-544.0,2,0,0,0
cloud_edge,Proposed,FBRL,2,7.192300807993364,0,0,2,0.0,0,2,0,-17.465804621110543,2,0,0,-0.00028626130255492854,2,0,0,-532.0,2,0,0,0
cloud_edge,Proposed,MPC_best_ramp,2,-0.03132103535057773,1,1,0,-0.1388888888888889,1,1,0,-0.0067444909242332296,2,0,0,-4.307284239941853e-09,2,0,0,-64.0,2,0,0,2
cloud_edge,Proposed,MPC_best_balanced,2,-0.03132103535057773,1,1,0,-0.1388888888888889,1,1,0,-0.0067444909242332296,2,0,0,-4.307284239941853e-09,2,0,0,-64.0,2,0,0,2
mixed,Proposed,NC,2,-0.03525484869561346,1,1,0,-0.1388888888888889,1,1,0,0.008536697128498125,0,1,1,8.074814167725914e-09,0,1,1,4.0,0,1,1,1
mixed,Proposed,GR,2,0.0,0,2,0,0.0,0,2,0,0.0007297168525274966,0,1,1,1.32146890131131e-09,0,1,1,0.0,0,2,0,1
mixed,Proposed,RS,2,6.679424389335093,0,0,2,0.0,0,2,0,-18.694857092982296,2,0,0,-0.0002737106420735984,2,0,0,-544.0,2,0,0,0
mixed,Proposed,FBRL,2,7.192300807993364,0,0,2,0.0,0,2,0,-17.465804621110543,2,0,0,-0.00028626130255492854,2,0,0,-532.0,2,0,0,0
mixed,Proposed,MPC_best_ramp,2,-0.03132103535057773,1,1,0,-0.1388888888888889,1,1,0,-0.0067444909242332296,2,0,0,-4.307284239941853e-09,2,0,0,-64.0,2,0,0,2
mixed,Proposed,MPC_best_balanced,2,-0.03132103535057773,1,1,0,-0.1388888888888889,1,1,0,-0.0067444909242332296,2,0,0,-4.307284239941853e-09,2,0,0,-64.0,2,0,0,2
