controller,scenario,seed,scenario_seed,day_id,ramp95_kw_per_min,cap_violation_pct_import,cap_violation_pct_export,cap_violation_pct_total,soc_band_residency,throughput_kwh,efc,t_high_soc_h,t_low_soc_h,ceq_q95,t_high_c_h,efcrf,idod,n_micro,flip_per_hour,flip_per_day,mean_cpu_ms,max_cpu_ms,rainflow_hist,reference_type,weight_label
Proposed,cloud_edge,0,cloud_edge_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.01707339425699625,8.536697128498125e-05,0.0,0.0,0.0,0.0,8.985996977367572e-05,1.6149628335451827e-08,0.5,0.3333333333333333,8.0,0.2320947157891674,1.8703999230638146,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,cloud_edge,1,cloud_edge_seed1,0,9.74785596196784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846508311754506,9.506499976851046,{},,
Proposed,mixed,0,mixed_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.01707339425699625,8.536697128498125e-05,0.0,0.0,0.0,0.0,8.985996977367572e-05,1.6149628335451827e-08,0.5,0.3333333333333333,8.0,0.2845811136972366,3.5445999819785357,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,mixed,1,mixed_seed1,0,9.74785596196784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25753333433789927,3.584599937312305,{},,
NC,cloud_edge,0,cloud_edge_seed0,0,9.526821355558479,0.2777777777777778,0.0,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006628885360745092,0.8582000155001879,{},,
NC,cloud_edge,1,cloud_edge_seed1,0,9.74785596196784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035291657291559708,0.08399994112551212,{},,
NC,mixed,0,mixed_seed0,0,9.526821355558479,0.2777777777777778,0.0,0.2777777777777778,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022800018390019736,0.03769993782043457,{},,
NC,mixed,1,mixed_seed1,0,9.74785596196784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002331942475090424,0.021300045773386955,{},,
GR,cloud_edge,0,cloud_edge_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.015613960551941256,7.806980275970628e-05,0.0,0.0,0.0,0.0,8.217873974705747e-05,1.3506690532829207e-08,0.5,0.3333333333333333,8.0,0.017338334065344598,0.3533000126481056,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
GR,cloud_edge,1,cloud_edge_seed1,0,9.74785596196784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02140944319156309,2.3076001089066267,{},,
GR,mixed,0,mixed_seed0,0,9.456311658167252,0.0,0.0,0.0,1.0,0.015613960551941256,7.806980275970628e-05,0.0,0.0,0.0,0.0,8.217873974705747e-05,1.3506690532829207e-08,0.5,0.3333333333333333,8.0,0.02555611394604461,3.127100062556565,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
GR,mixed,1,mixed_seed1,0,9.74785596196784,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023706108913756907,0.21810003090649843,{},,
RS,cloud_edge,0,cloud_edge_seed0,0,2.9682847135325834,0.0,0.0,0.0,1.0,18.793187335809808,0.09396593667904904,0.0,0.0,0.08276618042621521,0.0,0.07460848543189313,0.0002834100512552007,68.0,22.666666666666668,544.0,0.06939583529149079,4.248299985192716,"{'[0.0,0.1)': 68.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
RS,cloud_edge,1,cloud_edge_seed1,0,2.877034127932322,0.0,0.0,0.0,1.0,18.61360024441178,0.09306800122205891,0.0,0.0,0.07450748124678155,0.0,0.07495990770827965,0.0002640273825203316,68.5,23.0,552.0,0.03204277988212804,0.24309998843818903,"{'[0.0,0.1)': 68.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
RS,mixed,0,mixed_seed0,0,2.9682847135325834,0.0,0.0,0.0,1.0,18.793187335809808,0.09396593667904904,0.0,0.0,0.08276618042621521,0.0,0.07460848543189313,0.0002834100512552007,68.0,22.666666666666668,544.0,0.06532027845322672,5.266000051051378,"{'[0.0,0.1)': 68.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
RS,mixed,1,mixed_seed1,0,2.877034127932322,0.0,0.0,0.0,1.0,18.61360024441178,0.09306800122205891,0.0,0.0,0.07450748124678155,0.0,0.07495990770827965,0.0002640273825203316,68.5,23.0,552.0,0.08152277441695333,4.009299911558628,"{'[0.0,0.1)': 68.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,cloud_edge,0,cloud_edge_seed0,0,2.41419464514201,0.0,0.0,0.0,1.0,17.84176029964619,0.08920880149823095,0.0,0.0,0.07242583935426028,0.0,0.07062219698209149,0.0003001946864907883,67.0,22.333333333333332,536.0,0.021269166285896465,0.8349999552592635,"{'[0.0,0.1)': 67.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
FBRL,cloud_edge,1,cloud_edge_seed1,0,2.405371359006352,0.0,0.0,0.0,1.0,17.106922336831893,0.08553461168415946,0.0,0.0,0.07216114077019056,0.0,0.06743519231009756,0.00027234406824740425,66.5,22.333333333333332,536.0,0.022047500695205398,0.27219997718930244,"{'[0.0,0.1)': 66.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
