metric,comparison,n_pairs,mean_paired_diff,ci95_lo,ci95_hi,p_value,effect_size,effect_name,direction,p_holm
ramp95_kw_per_min,Proposed vs NC,4,-0.03525484869561346,-0.07050969739122692,0.0,0.5,-0.25,Cliff_delta,left_better,1.0
cap_violation_pct_total,Proposed vs NC,4,-0.1388888888888889,-0.2777777777777778,0.0,0.5,-0.5,Cliff_delta,left_better,1.0
throughput_kwh,Proposed vs NC,4,0.008536697128498125,0.0,0.01707339425699625,0.5,0.5,Cliff_delta,right_better,1.0
efc,Proposed vs NC,4,4.268348564249062e-05,0.0,8.536697128498125e-05,0.5,0.5,Cliff_delta,right_better,1.0
t_high_soc_h,Proposed vs NC,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
ceq_q95,Proposed vs NC,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
t_high_c_h,Proposed vs NC,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
idod,Proposed vs NC,4,8.074814167725914e-09,0.0,1.6149628335451827e-08,0.5,0.5,Cliff_delta,right_better,1.0
flip_per_day,Proposed vs NC,4,4.0,0.0,8.0,0.5,0.5,Cliff_delta,right_better,1.0
ramp95_kw_per_min,Proposed vs GR,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
cap_violation_pct_total,Proposed vs GR,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
throughput_kwh,Proposed vs GR,4,0.0007297168525274966,0.0,0.0014594337050549931,0.5,0.25,Cliff_delta,right_better,1.0
efc,Proposed vs GR,4,3.6485842626374804e-06,0.0,7.297168525274961e-06,0.5,0.25,Cliff_delta,right_better,1.0
t_high_soc_h,Proposed vs GR,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
ceq_q95,Proposed vs GR,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
t_high_c_h,Proposed vs GR,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
idod,Proposed vs GR,4,0.0,0.0,2.64293780262262e-09,1.0,0.0,NoDifference,tie,1.0
flip_per_day,Proposed vs GR,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
ramp95_kw_per_min,Proposed vs RS,4,6.679424389335093,6.488026944634669,6.870821834035517,0.125,1.0,Cliff_delta,right_better,1.0
cap_violation_pct_total,Proposed vs RS,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
throughput_kwh,Proposed vs RS,4,-18.694857092982296,-18.77611394155281,-18.61360024441178,0.125,-1.0,Cliff_delta,left_better,1.0
efc,Proposed vs RS,4,-0.09347428546491149,-0.09388056970776405,-0.09306800122205891,0.125,-1.0,Cliff_delta,left_better,1.0
t_high_soc_h,Proposed vs RS,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
ceq_q95,Proposed vs RS,4,-0.07863683083649839,-0.08276618042621521,-0.07450748124678155,0.125,-1.0,Cliff_delta,left_better,1.0
t_high_c_h,Proposed vs RS,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
idod,Proposed vs RS,4,-0.0002737106420735984,-0.00028339390162686524,-0.0002640273825203316,0.125,-1.0,Cliff_delta,left_better,1.0
flip_per_day,Proposed vs RS,4,-544.0,-552.0,-536.0,0.125,-1.0,Cliff_delta,left_better,1.0
ramp95_kw_per_min,Proposed vs FBRL,4,7.192300807993364,7.0421170130252415,7.342484602961488,0.125,1.0,Cliff_delta,right_better,1.0
cap_violation_pct_total,Proposed vs FBRL,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
throughput_kwh,Proposed vs FBRL,4,-17.465804621110543,-17.824686905389193,-17.106922336831893,0.125,-1.0,Cliff_delta,left_better,1.0
efc,Proposed vs FBRL,4,-0.08732902310555271,-0.08912343452694596,-0.08553461168415946,0.125,-1.0,Cliff_delta,left_better,1.0
t_high_soc_h,Proposed vs FBRL,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
ceq_q95,Proposed vs FBRL,4,-0.07229349006222542,-0.07242583935426028,-0.07216114077019056,0.125,-1.0,Cliff_delta,left_better,1.0
t_high_c_h,Proposed vs FBRL,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
idod,Proposed vs FBRL,4,-0.00028626130255492854,-0.00030017853686245283,-0.00027234406824740425,0.125,-1.0,Cliff_delta,left_better,1.0
flip_per_day,Proposed vs FBRL,4,-532.0,-536.0,-528.0,0.125,-1.0,Cliff_delta,left_better,1.0
ramp95_kw_per_min,Proposed vs MPC_best_ramp,4,-0.03132103535057773,-0.06264207070115546,0.0,0.5,-0.25,Cliff_delta,left_better,1.0
cap_violation_pct_total,Proposed vs MPC_best_ramp,4,-0.1388888888888889,-0.2777777777777778,0.0,0.5,-0.5,Cliff_delta,left_better,1.0
throughput_kwh,Proposed vs MPC_best_ramp,4,-0.0067444909242332296,-0.01138264399194123,-0.002106337856525229,0.125,-0.5,Cliff_delta,left_better,1.0
efc,Proposed vs MPC_best_ramp,4,-3.372245462116615e-05,-5.691321995970615e-05,-1.0531689282626146e-05,0.125,-0.5,Cliff_delta,left_better,1.0
t_high_soc_h,Proposed vs MPC_best_ramp,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
ceq_q95,Proposed vs MPC_best_ramp,4,-0.00010066328010817203,-0.0001824202499406083,-1.8906310275735746e-05,0.125,-1.0,Cliff_delta,left_better,1.0
t_high_c_h,Proposed vs MPC_best_ramp,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
idod,Proposed vs MPC_best_ramp,4,0.0,-5.942582990965635e-09,-2.671985488918072e-09,1.0,0.0,NoDifference,tie,1.0
flip_per_day,Proposed vs MPC_best_ramp,4,-64.0,-76.0,-52.0,0.125,-1.0,Cliff_delta,left_better,1.0
ramp95_kw_per_min,Proposed vs MPC_best_balanced,4,-0.03132103535057773,-0.06264207070115546,0.0,0.5,-0.25,Cliff_delta,left_better,1.0
cap_violation_pct_total,Proposed vs MPC_best_balanced,4,-0.1388888888888889,-0.2777777777777778,0.0,0.5,-0.5,Cliff_delta,left_better,1.0
throughput_kwh,Proposed vs MPC_best_balanced,4,-0.0067444909242332296,-0.01138264399194123,-0.002106337856525229,0.125,-0.5,Cliff_delta,left_better,1.0
efc,Proposed vs MPC_best_balanced,4,-3.372245462116615e-05,-5.691321995970615e-05,-1.0531689282626146e-05,0.125,-0.5,Cliff_delta,left_better,1.0
t_high_soc_h,Proposed vs MPC_best_balanced,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
ceq_q95,Proposed vs MPC_best_balanced,4,-0.00010066328010817203,-0.0001824202499406083,-1.8906310275735746e-05,0.125,-1.0,Cliff_delta,left_better,1.0
t_high_c_h,Proposed vs MPC_best_balanced,4,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
idod,Proposed vs MPC_best_balanced,4,0.0,-5.942582990965635e-09,-2.671985488918072e-09,1.0,0.0,NoDifference,tie,1.0
flip_per_day,Proposed vs MPC_best_balanced,4,-64.0,-76.0,-52.0,0.125,-1.0,Cliff_delta,left_better,1.0
