controller,scenario,seed,scenario_seed,day_id,ramp95_kw_per_min,cap_violation_pct_import,cap_violation_pct_export,cap_violation_pct_total,soc_band_residency,throughput_kwh,efc,t_high_soc_h,t_low_soc_h,ceq_q95,t_high_c_h,efcrf,idod,n_micro,flip_per_hour,flip_per_day,mean_cpu_ms,max_cpu_ms,rainflow_hist,reference_type,weight_label
Proposed,cloud_edge,0,cloud_edge_seed0,0,8.911901135808762,0.0,0.0,0.0,1.0,1.4039606386284158,0.007019803193142079,0.0,0.0,0.0,0.0,0.0095151446652611,4.81034710849095e-05,5.5,1.8333333333333333,44.0,0.5271013900508277,20.79720003530383,"{'[0.0,0.1)': 5.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,cloud_edge,1,cloud_edge_seed1,0,8.642897192155019,0.0,0.0,0.0,1.0,0.03998521809660932,0.0001999260904830466,0.0,0.0,0.0,0.0,0.0002104485162979508,8.857715602401773e-08,0.5,0.16666666666666666,4.0,0.4618826404718372,37.20330004580319,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,load_step,0,load_step_seed0,0,8.478723369876164,0.0,0.0,0.0,1.0,2.0743602622985016,0.010371801311492507,0.0,0.0,0.0011158743071640702,0.0,0.013152785851820198,0.00011659575837500535,6.5,2.1666666666666665,52.0,0.3044372170633223,10.647699935361743,"{'[0.0,0.1)': 6.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,load_step,1,load_step_seed1,0,9.189999204192103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24925652736177048,4.06130007468164,{},,
Proposed,mixed,0,mixed_seed0,0,8.73513562287991,0.0,0.0,0.0,1.0,1.236533464973856,0.00618266732486928,0.0,0.0,0.0,0.0,0.0075817470232535655,6.697656867809606e-05,5.0,1.6666666666666667,40.0,0.37052125165549415,9.57110000308603,"{'[0.0,0.1)': 5.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,mixed,1,mixed_seed1,0,9.327873740197878,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3498124987042199,36.18199995253235,{},,
Proposed,wind_gust,0,wind_gust_seed0,0,9.422130324384922,0.0,0.0,0.0,1.0,1.6870609788961355,0.008435304894480678,0.0,0.0,0.0,0.0,0.012727881285879927,0.00016784384192650083,5.0,1.6666666666666667,40.0,0.28993069524100673,4.367799963802099,"{'[0.0,0.1)': 5.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
Proposed,wind_gust,1,wind_gust_seed1,0,9.55448363803617,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22665069700451568,3.811800037510693,{},,
NC,cloud_edge,0,cloud_edge_seed0,0,9.051630802193484,3.6111111111111107,0.0,3.6111111111111107,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002077498680187596,0.07599999662488699,{},,
NC,cloud_edge,1,cloud_edge_seed1,0,8.646722971432164,0.1388888888888889,0.0,0.1388888888888889,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021001362862686315,0.0942000187933445,{},,
NC,load_step,0,load_step_seed0,0,8.87473155779208,4.583333333333333,0.0,4.583333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024555553358772565,0.019000028260052204,{},,
NC,load_step,1,load_step_seed1,0,9.189999204192103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037534720225570104,0.29499991796910763,{},,
NC,mixed,0,mixed_seed0,0,8.933795081927318,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002699862104944057,0.06859994027763605,{},,
NC,mixed,1,mixed_seed1,0,9.327873740197878,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002063750030679835,0.03599992487579584,{},,
NC,wind_gust,0,wind_gust_seed0,0,9.720931150334172,3.3333333333333335,0.0,3.3333333333333335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030149988661934105,0.6040000589564443,{},,
NC,wind_gust,1,wind_gust_seed1,0,9.55448363803617,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023352777740607658,0.6819999543949962,{},,
GR,cloud_edge,0,cloud_edge_seed0,0,8.911901135808762,0.0,0.0,0.0,1.0,1.307456688717769,0.006537283443588845,0.0,0.0,0.0,0.0,0.009181285473108675,4.2753036830657036e-05,5.5,1.8333333333333333,44.0,0.022718195072633937,2.4711000733077526,"{'[0.0,0.1)': 5.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
GR,cloud_edge,1,cloud_edge_seed1,0,8.642897192155019,0.0,0.0,0.0,1.0,0.03594053404312826,0.0001797026702156413,0.0,0.0,0.0,0.0,0.00018916070549016006,7.156354500307015e-08,0.5,0.16666666666666666,4.0,0.023741252274097253,2.9241000302135944,"{'[0.0,0.1)': 0.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
GR,load_step,0,load_step_seed0,0,8.478723369876164,0.0,0.0,0.0,1.0,1.9127407079618564,0.009563703539809282,0.0,0.0,0.0,0.0,0.013704820579591881,0.000105797779051889,7.0,2.3333333333333335,56.0,0.0223709732785614,4.009400028735399,"{'[0.0,0.1)': 7.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
GR,load_step,1,load_step_seed1,0,9.189999204192103,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019980415850619063,3.487299894914031,{},,
GR,mixed,0,mixed_seed0,0,8.73513562287991,0.0,0.0,0.0,1.0,1.1235376292785797,0.005617688146392899,0.0,0.0,0.0,0.0,0.009184097633015142,7.803003797727421e-05,6.0,2.0,48.0,0.019043887732550502,1.2953999685123563,"{'[0.0,0.1)': 6.0, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
GR,mixed,1,mixed_seed1,0,9.327873740197878,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019394583392163947,1.0445999214425683,{},,
GR,wind_gust,0,wind_gust_seed0,0,9.428331974226532,0.0,0.0,0.0,1.0,1.4430267815225435,0.007215133907612717,0.0,0.0,0.0,0.0,0.011409866393139623,0.00012194709944625303,5.5,1.8333333333333333,44.0,0.017877774209611945,2.6042000390589237,"{'[0.0,0.1)': 5.5, '[0.1,0.2)': 0.0, '[0.2,0.4)': 0.0, '[0.4,0.6)': 0.0, '[0.6,1.0)': 0.0}",,
GR,wind_gust,1,wind_gust_seed1,0,9.55448363803617,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020811250983064786,3.6060999846085906,{},,
