metric,comparison,n_pairs,mean_paired_diff,ci95_lo,ci95_hi,p_value,effect_size,effect_name,direction,p_holm
ramp95_kw_per_min,Proposed vs NC,8,-0.12962798982180512,-0.23583241961125734,-0.037350103243656285,0.05123756615874991,-0.8301457328846175,Cohen_dz,left_better,0.512375661587499
cap_violation_pct_total,Proposed vs NC,8,-1.875,-3.1948784722222223,-0.5902777777777778,0.0625,-1.0,Rank_biserial,left_better,0.5625
throughput_kwh,Proposed vs NC,8,0.8052375703616899,0.26429318504938887,1.375145422914524,0.0625,1.0,Rank_biserial,right_better,0.5625
efc,Proposed vs NC,8,0.004026187851808449,0.0013214659252469441,0.00687572711457262,0.0625,1.0,Rank_biserial,right_better,0.5625
lfp_cycle_loss_pct,Proposed vs NC,8,7.583560335045419e-05,2.359586846716065e-05,0.00012960412298334336,0.0625,1.0,Rank_biserial,right_better,0.5625
t_high_soc_h,Proposed vs NC,8,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
ceq_q95,Proposed vs NC,8,0.00013948428839550878,0.0,0.0004184528651865263,1.0,1.0,Rank_biserial,right_better,1.0
t_high_c_h,Proposed vs NC,8,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
idod,Proposed vs NC,8,4.9951027152567124e-05,1.4385004970375818e-05,9.36745134122147e-05,0.0625,1.0,Rank_biserial,right_better,0.5625
flip_per_day,Proposed vs NC,8,22.5,7.0,38.01249999999993,0.0625,1.0,Rank_biserial,right_better,0.5625
ramp95_kw_per_min,Proposed vs GR,8,-0.0007752062302013307,-0.002325618690603992,0.0,1.0,-1.0,Rank_biserial,left_better,1.0
cap_violation_pct_total,Proposed vs GR,8,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
throughput_kwh,Proposed vs GR,8,0.07739977767120516,0.024125987477661703,0.13996422723099672,0.04977733782594761,0.8370937258596486,Cohen_dz,right_better,0.4977733782594761
efc,Proposed vs GR,8,0.0003869988883560259,0.0001206299373883086,0.0006998211361549839,0.04977733782594761,0.8370937258596485,Cohen_dz,right_better,0.4977733782594761
lfp_cycle_loss_pct,Proposed vs GR,8,-6.349979341654461e-07,-8.495754198382748e-06,6.556518920508305e-06,0.8790659980447996,-0.05579255671007188,Cohen_dz,left_better,1.0
t_high_soc_h,Proposed vs GR,8,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
ceq_q95,Proposed vs GR,8,0.00013948428839550878,0.0,0.0004184528651865263,1.0,1.0,Rank_biserial,right_better,1.0
t_high_c_h,Proposed vs GR,8,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
idod,Proposed vs GR,8,6.376087546182214e-06,-2.7612406234169427e-06,1.8583168147880854e-05,0.4375,0.4666666666666667,Rank_biserial,right_better,1.0
flip_per_day,Proposed vs GR,8,-2.0,-4.0,-0.5,0.25,-1.0,Rank_biserial,left_better,1.0
ramp95_kw_per_min,Proposed vs RS,8,6.170066381237522,5.868528601149009,6.480653511513824,2.5831843884889744e-09,13.191362013137383,Cohen_dz,right_better,1.808229071942282e-08
cap_violation_pct_total,Proposed vs RS,8,-1.3368055555555556,-2.3090277777777777,-0.4340277777777778,0.125,-1.0,Rank_biserial,left_better,0.375
throughput_kwh,Proposed vs RS,8,-35.71933005127106,-36.95570831403798,-34.76153823413797,1.0289180019508597e-10,-20.933439984598174,Cohen_dz,left_better,1.0289180019508598e-09
efc,Proposed vs RS,8,-0.1785966502563553,-0.18477854157018989,-0.17380769117068984,1.0289180019508597e-10,-20.93343998459818,Cohen_dz,left_better,1.0289180019508598e-09
lfp_cycle_loss_pct,Proposed vs RS,8,-0.002405082226808668,-0.0024966876684047717,-0.0023246349874771802,2.6907304859999896e-10,-18.242208826389437,Cohen_dz,left_better,2.1525843887999917e-09
t_high_soc_h,Proposed vs RS,8,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
ceq_q95,Proposed vs RS,8,-0.07649601720367136,-0.08115148944760703,-0.07259771512166929,7.008527503084444e-09,-11.429962571358978,Cohen_dz,left_better,3.504263751542222e-08
t_high_c_h,Proposed vs RS,8,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
idod,Proposed vs RS,8,-0.0008321366640909021,-0.0009477363025247172,-0.0007270782699796939,2.2885564768294825e-06,-4.936138071627875,Cohen_dz,left_better,9.15422590731793e-06
flip_per_day,Proposed vs RS,8,-533.75,-560.50625,-502.99375000000003,5.793036681940836e-09,-11.747094012063728,Cohen_dz,left_better,3.475822009164502e-08
ramp95_kw_per_min,Proposed vs FBRL,8,6.635719519500812,6.4047377059447275,6.865313892921959,2.5453663769024704e-10,18.387856686290927,Cohen_dz,right_better,2.0362931015219763e-09
cap_violation_pct_total,Proposed vs FBRL,8,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
throughput_kwh,Proposed vs FBRL,8,-33.805585983019796,-34.864880637262644,-32.952555125005794,5.7938146256175236e-11,-22.72635523237771,Cohen_dz,left_better,5.793814625617466e-10
efc,Proposed vs FBRL,8,-0.16902792991509896,-0.17432440318631323,-0.164762775625029,5.793814625617466e-11,-22.72635523237774,Cohen_dz,left_better,5.793814625617466e-10
lfp_cycle_loss_pct,Proposed vs FBRL,8,-0.002177326256772223,-0.0022991447493634024,-0.0020649897059215553,4.907058553932512e-09,-12.030535387615682,Cohen_dz,left_better,2.944235132359507e-08
t_high_soc_h,Proposed vs FBRL,8,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
ceq_q95,Proposed vs FBRL,8,-0.07194469746166889,-0.07678585469078303,-0.0684545505238604,9.259493707400427e-09,-10.981399838352665,Cohen_dz,left_better,4.629746853700213e-08
t_high_c_h,Proposed vs FBRL,8,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
idod,Proposed vs FBRL,8,-0.0009426150338883303,-0.001173704186084757,-0.0007342365792446699,0.00010368948114298495,-2.7718006618972004,Cohen_dz,left_better,0.0004147579245719398
flip_per_day,Proposed vs FBRL,8,-503.5,-526.75,-477.99375000000003,2.9926900814425847e-09,-12.915716447045341,Cohen_dz,left_better,2.0948830570098093e-08
ramp95_kw_per_min,Proposed vs MPC_best_ramp,8,-0.09154783740671957,-0.19115727880006134,-0.016742557357641408,0.0625,-0.9047619047619048,Rank_biserial,left_better,0.5
cap_violation_pct_total,Proposed vs MPC_best_ramp,8,-1.25,-2.1180555555555554,-0.3993055555555555,0.0625,-1.0,Rank_biserial,left_better,0.5
throughput_kwh,Proposed vs MPC_best_ramp,8,0.002943491054904348,-0.05296964538599464,0.05734541196494623,0.922370728296067,0.03571433145113042,Cohen_dz,right_better,1.0
efc,Proposed vs MPC_best_ramp,8,1.4717455274521928e-05,-0.00026484822692997295,0.0002867270598247314,0.9223707282960659,0.03571433145113088,Cohen_dz,right_better,1.0
lfp_cycle_loss_pct,Proposed vs MPC_best_ramp,8,1.6462282903768814e-05,3.994053633916249e-06,3.266718140382271e-05,0.109375,0.6666666666666666,Rank_biserial,right_better,0.65625
t_high_soc_h,Proposed vs MPC_best_ramp,8,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
ceq_q95,Proposed vs MPC_best_ramp,8,-0.0021985940428986546,-0.003916118306799165,-0.0006698433937474,0.04378927327370549,-0.8679504957250792,Cohen_dz,left_better,0.39410345946334946
t_high_c_h,Proposed vs MPC_best_ramp,8,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
idod,Proposed vs MPC_best_ramp,8,-2.281702998634489e-05,-6.265818952015668e-05,8.085472894505741e-06,0.3125,-0.4666666666666667,Rank_biserial,left_better,1.0
flip_per_day,Proposed vs MPC_best_ramp,8,-49.25,-55.25,-42.243750000000034,2.9557378205513036e-06,-4.753251154762688,Cohen_dz,left_better,2.9557378205513035e-05
ramp95_kw_per_min,Proposed vs MPC_best_balanced,8,-0.09154783740671957,-0.19115727880006134,-0.016742557357641408,0.0625,-0.9047619047619048,Rank_biserial,left_better,0.5
cap_violation_pct_total,Proposed vs MPC_best_balanced,8,-1.25,-2.1180555555555554,-0.3993055555555555,0.0625,-1.0,Rank_biserial,left_better,0.5
throughput_kwh,Proposed vs MPC_best_balanced,8,0.002943491054904348,-0.05296964538599464,0.05734541196494623,0.922370728296067,0.03571433145113042,Cohen_dz,right_better,1.0
efc,Proposed vs MPC_best_balanced,8,1.4717455274521928e-05,-0.00026484822692997295,0.0002867270598247314,0.9223707282960659,0.03571433145113088,Cohen_dz,right_better,1.0
lfp_cycle_loss_pct,Proposed vs MPC_best_balanced,8,1.6462282903768814e-05,3.994053633916249e-06,3.266718140382271e-05,0.109375,0.6666666666666666,Rank_biserial,right_better,0.65625
t_high_soc_h,Proposed vs MPC_best_balanced,8,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
ceq_q95,Proposed vs MPC_best_balanced,8,-0.0021985940428986546,-0.003916118306799165,-0.0006698433937474,0.04378927327370549,-0.8679504957250792,Cohen_dz,left_better,0.39410345946334946
t_high_c_h,Proposed vs MPC_best_balanced,8,0.0,0.0,0.0,1.0,0.0,NoDifference,tie,1.0
idod,Proposed vs MPC_best_balanced,8,-2.281702998634489e-05,-6.265818952015668e-05,8.085472894505741e-06,0.3125,-0.4666666666666667,Rank_biserial,left_better,1.0
flip_per_day,Proposed vs MPC_best_balanced,8,-49.25,-55.25,-42.243750000000034,2.9557378205513036e-06,-4.753251154762688,Cohen_dz,left_better,2.9557378205513035e-05
