candidate,train_score_vs_gr,hold_score_vs_gr,hold_rank,ramp95_kw_per_min_delta_vs_gr,cap_violation_pct_total_delta_vs_gr,throughput_kwh_delta_vs_gr,idod_delta_vs_gr,flip_per_day_delta_vs_gr,split_id,base_soft_low,prep_power_cap_kw,lookahead_gain,min_useful_cmd_kw
Candidate_01,0.18927889552794797,-0.05390386072319214,1,-0.000516804153468442,0.0,0.05184309073164578,4.2511655204219845e-06,-1.3333333333333357,core_to_short_medium,0.32,3.0,0.01,0.25
Candidate_02,0.19322070587345888,-0.05390386072319214,1,-0.000516804153468442,0.0,0.05184309073164578,4.2511655204219845e-06,-1.3333333333333357,core_to_short_medium,0.32,4.0,0.01,0.25
Candidate_03,0.19902173015599528,-0.05390386072319214,1,-0.000516804153468442,0.0,0.05184309073164578,4.2511655204219845e-06,-1.3333333333333357,core_to_short_medium,0.32,5.0,0.01,0.25
Candidate_06,0.4964235262520056,-0.05390386072319214,1,-0.000516804153468442,0.0,0.05184309073164578,4.2511655204219845e-06,-1.3333333333333357,core_to_short_medium,0.34,3.0,0.01,0.25
Candidate_07,0.43126012240322464,-0.05390386072319214,1,-0.000516804153468442,0.0,0.05184309073164578,4.2511655204219845e-06,-1.3333333333333357,core_to_short_medium,0.34,4.0,0.01,0.25
Candidate_09,0.5516468329624725,-0.04825918963771443,6,-0.000516804153468442,0.0,0.07364355809300033,6.84522212227622e-06,-1.3333333333333357,core_to_short_medium,0.34,4.0,0.02,0.5
Candidate_10,0.90115828546734,-0.04825918963771443,6,-0.000516804153468442,0.0,0.07364355809300033,6.84522212227622e-06,-1.3333333333333357,core_to_short_medium,0.36,4.0,0.02,0.5
Candidate_04,0.24950963920131608,-0.04797430715151395,8,-0.000516804153468442,0.0,0.07471841110207217,7.060811908043194e-06,-1.3333333333333357,core_to_short_medium,0.32,4.0,0.02,0.25
Candidate_08,0.5393459184307554,-0.04797430715151395,8,-0.000516804153468442,0.0,0.07471841110207217,7.060811908043194e-06,-1.3333333333333357,core_to_short_medium,0.34,4.0,0.02,0.25
Candidate_11,1.0220949436924864,-0.03619222283578611,10,-0.000516804153468442,0.0,0.12006673061365741,1.2994204412463584e-05,-1.3333333333333357,core_to_short_medium,0.36,5.0,0.04,0.5
Candidate_12,1.1680350224713016,-0.03619222283578611,10,-0.000516804153468442,0.0,0.12006673061365741,1.2994204412463584e-05,-1.3333333333333357,core_to_short_medium,0.38,5.0,0.04,0.5
